# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-s" "2" "-p" "-t" "transcript" "-g" "gene_id" "--countReadPairs" "-a" "referenceGenome/refgene/hg38.refGene.gtf" "-o" "./counts_matrix.txt" "LOAD/final_alignments/SRR19243439.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243440.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243441.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243442.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243443.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243444.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243478.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243479.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243480.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243481.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243482.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243483.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	LOAD/final_alignments/SRR19243439.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243440.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243441.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243442.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243443.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243444.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243478.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243479.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243480.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243481.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243482.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243483.Aligned.sortedByCoord.out.bam
DDX11L1	chr1	11874	14409	+	2536	0	0	0	0	0	1	0	0	0	0	0	0
WASH7P	chr1	14362	29370	-	15009	24	111	99	35	34	51	62	66	88	160	86	130
MIR6859-1	chr1;chr1;chr16;chr15	17369;187891;17052;101973524	17436;187958;17119;101973591	-;-;-;+	272	0	0	0	0	0	0	0	0	0	0	0	0
MIR6859-2	chr1;chr1;chr16;chr15	17369;187891;17052;101973524	17436;187958;17119;101973591	-;-;-;+	272	0	0	0	0	0	0	0	0	0	0	0	0
MIR6859-3	chr1;chr1;chr16;chr15	17369;187891;17052;101973524	17436;187958;17119;101973591	-;-;-;+	272	0	0	0	0	0	0	0	0	0	0	0	0
MIR6859-4	chr1;chr1;chr16;chr15	17369;187891;17052;101973524	17436;187958;17119;101973591	-;-;-;+	272	0	0	0	0	0	0	0	0	0	0	0	0
MIR1302-2	chr1;chr19;chr9;chr15	30366;71973;30144;101960459	30503;72110;30281;101960596	+;+;+;-	552	0	0	0	0	0	0	0	0	0	0	0	0
MIR1302-9	chr1;chr19;chr9;chr15	30366;71973;30144;101960459	30503;72110;30281;101960596	+;+;+;-	552	0	0	0	0	0	0	0	0	0	0	0	0
MIR1302-10	chr1;chr19;chr9;chr15	30366;71973;30144;101960459	30503;72110;30281;101960596	+;+;+;-	552	0	0	0	0	0	0	0	0	0	0	0	0
MIR1302-11	chr1;chr19;chr9;chr15	30366;71973;30144;101960459	30503;72110;30281;101960596	+;+;+;-	552	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	chr1;chr19;chr9	34611;76220;34394	36081;77690;35864	-;-;-	4413	0	0	0	0	0	0	0	0	0	0	0	0
FAM138F	chr1;chr19;chr9	34611;76220;34394	36081;77690;35864	-;-;-	4413	0	0	0	0	0	0	0	0	0	0	0	0
FAM138C	chr1;chr19;chr9	34611;76220;34394	36081;77690;35864	-;-;-	4413	0	0	0	0	0	0	0	0	0	0	0	0
